Start:18:29 09-12
Header Write:18:29 09-12
Loop:18:37:56 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:37:58 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:00 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:02 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:04 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:06 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:08 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:10 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:12 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:14 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:16 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:18 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:20 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:22 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:24 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:26 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:28 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:30 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:32 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:34 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:36 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:38 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:40 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:42 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:44 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:38:46 09-12 Lat:42.687606802 Long:23.332403646
