pkey,timestamp,lat,long,alt,speed,climb,mode,heading
271,2014-11-26 02:30:51.953818,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
272,2014-11-26 02:30:53.012436,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
273,2014-11-26 02:30:54.065579,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
274,2014-11-26 02:30:55.116509,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
275,2014-11-26 02:30:56.166443,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
276,2014-11-26 02:30:57.230105,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
277,2014-11-26 02:30:58.276506,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
278,2014-11-26 02:30:59.335135,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
279,2014-11-26 02:31:00.384869,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
280,2014-11-26 02:31:01.450827,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
281,2014-11-26 02:31:02.505423,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
282,2014-11-26 02:31:03.576441,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
283,2014-11-26 02:31:04.640931,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
284,2014-11-26 02:31:05.699441,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
285,2014-11-26 02:31:06.753164,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
286,2014-11-26 02:31:07.817764,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
287,2014-11-26 02:31:08.873260,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
288,2014-11-26 02:31:10.891755,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
289,2014-11-26 02:31:11.946439,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
290,2014-11-26 02:31:12.999848,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
